minGap,structure,direction,exit,stop,cutoff,sector,selN,selWin,selExp,selPF,valN,valWin,valExp,valPF,allN,allWin,allExp,allPF
5,20d,long,pct2,0930,0940,false,218,49.1,-0.34,0.72,132,56.8,-0.15,0.88,350,52.0,-0.27,0.78
5,20d,long,pct2,0930,0940,true,148,50.0,-0.27,0.76,107,57.9,-0.04,0.96,255,53.3,-0.18,0.84
5,20d,long,pct2,0930,1130,false,337,52.2,-0.28,0.76,193,58.5,-0.04,0.96,530,54.5,-0.19,0.83
5,20d,long,pct2,0930,1130,true,208,51.4,-0.24,0.78,152,59.2,0.02,1.02,360,54.7,-0.13,0.88
5,20d,long,pct2,pm,0940,false,218,55.5,-0.29,0.77,132,60.6,0.08,1.07,350,57.4,-0.15,0.87
5,20d,long,pct2,pm,0940,true,148,55.4,-0.38,0.71,107,61.7,0.14,1.14,255,58.0,-0.16,0.86
5,20d,long,pct2,pm,1130,false,337,57.0,-0.22,0.81,193,61.1,0.13,1.14,530,58.5,-0.09,0.91
5,20d,long,pct2,pm,1130,true,208,55.8,-0.31,0.75,152,61.8,0.15,1.17,360,58.3,-0.11,0.90
5,20d,long,t1030,0930,0940,false,218,39.4,-0.33,0.77,132,51.5,0.04,1.04,350,44.0,-0.19,0.85
5,20d,long,t1030,0930,0940,true,148,41.2,-0.15,0.88,107,52.3,0.15,1.14,255,45.9,-0.03,0.98
5,20d,long,t1030,0930,1130,false,337,41.5,-0.28,0.76,193,47.7,0.05,1.05,530,43.8,-0.16,0.85
5,20d,long,t1030,0930,1130,true,208,39.9,-0.18,0.84,152,49.3,0.19,1.21,360,43.9,-0.02,0.98
5,20d,long,t1030,pm,0940,false,218,40.8,-0.36,0.75,132,51.5,0.02,1.02,350,44.9,-0.21,0.84
5,20d,long,t1030,pm,0940,true,148,42.6,-0.23,0.83,107,52.3,0.07,1.06,255,46.7,-0.11,0.92
5,20d,long,t1030,pm,1130,false,337,42.4,-0.29,0.76,193,47.7,0.04,1.05,530,44.3,-0.17,0.85
5,20d,long,t1030,pm,1130,true,208,40.9,-0.23,0.80,152,49.3,0.15,1.15,360,44.4,-0.07,0.93
5,20d,long,t1200,0930,0940,false,218,37.2,-0.37,0.75,132,46.2,0.06,1.04,350,40.6,-0.21,0.85
5,20d,long,t1200,0930,0940,true,148,38.5,-0.19,0.86,107,46.7,0.14,1.12,255,42.0,-0.05,0.96
5,20d,long,t1200,0930,1130,false,337,40.7,-0.27,0.80,193,45.6,0.02,1.02,530,42.5,-0.17,0.87
5,20d,long,t1200,0930,1130,true,208,42.3,-0.17,0.87,152,46.1,0.08,1.07,360,43.9,-0.06,0.95
5,20d,long,t1200,pm,0940,false,218,40.4,-0.45,0.72,132,48.5,0.06,1.04,350,43.4,-0.26,0.83
5,20d,long,t1200,pm,0940,true,148,41.9,-0.32,0.79,107,48.6,0.04,1.03,255,44.7,-0.17,0.88
5,20d,long,t1200,pm,1130,false,337,42.4,-0.29,0.79,193,46.6,0.04,1.03,530,44.0,-0.17,0.87
5,20d,long,t1200,pm,1130,true,208,44.7,-0.21,0.84,152,47.4,0.02,1.02,360,45.8,-0.11,0.91
5,20d,both,atr,0930,0940,false,313,40.6,-0.32,0.80,249,41.8,-0.14,0.91,562,41.1,-0.24,0.85
5,20d,both,atr,0930,0940,true,187,38.5,-0.34,0.77,183,42.6,-0.16,0.90,370,40.5,-0.25,0.84
5,20d,both,atr,0930,1130,false,473,41.9,-0.33,0.79,357,45.9,-0.04,0.97,830,43.6,-0.20,0.86
5,20d,both,atr,0930,1130,true,259,39.4,-0.34,0.77,250,46.4,-0.10,0.93,509,42.8,-0.22,0.85
5,20d,both,atr,pm,0940,false,313,45.0,-0.35,0.79,249,44.2,-0.22,0.87,562,44.7,-0.30,0.82
5,20d,both,atr,pm,0940,true,187,42.8,-0.48,0.71,183,44.8,-0.27,0.84,370,43.8,-0.38,0.78
5,20d,both,atr,pm,1130,false,473,45.7,-0.31,0.81,357,47.6,-0.08,0.94,830,46.5,-0.21,0.86
5,20d,both,atr,pm,1130,true,259,43.2,-0.39,0.76,250,48.0,-0.19,0.88,509,45.6,-0.29,0.82
5,20d,both,pct1,0930,0940,false,313,63.9,-0.32,0.64,249,71.9,-0.24,0.72,562,67.4,-0.29,0.68
5,20d,both,pct1,0930,0940,true,187,64.7,-0.27,0.68,183,74.9,-0.15,0.82,370,69.7,-0.21,0.75
5,20d,both,pct1,0930,1130,false,473,66.6,-0.24,0.71,357,72.0,-0.16,0.80,830,68.9,-0.21,0.75
5,20d,both,pct1,0930,1130,true,259,66.4,-0.22,0.73,250,75.6,-0.08,0.89,509,70.9,-0.15,0.81
5,20d,both,pct1,pm,0940,false,313,68.1,-0.32,0.66,249,75.9,-0.23,0.75,562,71.5,-0.28,0.70
